Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
03/12/2012,0.792,0.826,0.792,0.817,1346100,0.817,0.011138614,0.008739076,0.00125,-0.002493766,-0.013530135,41246
04/12/2012,0.82,0.827,0.816,0.816,1066700,0.816,-0.00122399,0.011138614,0.008739076,0.00125,-0.002493766,41247
05/12/2012,0.826,0.843,0.82,0.836,2380600,0.836,0.024509804,-0.00122399,0.011138614,0.008739076,0.00125,41248
06/12/2012,0.84,0.857,0.84,0.843,1132200,0.843,0.008373206,0.024509804,-0.00122399,0.011138614,0.008739076,41249
07/12/2012,0.848,0.85,0.829,0.85,1046000,0.85,0.008303677,0.008373206,0.024509804,-0.00122399,0.011138614,41250
10/12/2012,0.849,0.849,0.824,0.849,627300,0.849,-0.001176471,0.008303677,0.008373206,0.024509804,-0.00122399,41253
11/12/2012,0.846,0.862,0.845,0.86,884200,0.86,0.012956419,-0.001176471,0.008303677,0.008373206,0.024509804,41254
12/12/2012,0.855,0.863,0.854,0.86,357200,0.86,0,0.012956419,-0.001176471,0.008303677,0.008373206,41255
13/12/2012,0.864,0.877,0.858,0.877,1583500,0.877,0.019767442,0,0.012956419,-0.001176471,0.008303677,41256
14/12/2012,0.879,0.9,0.879,0.9,2008000,0.9,0.02622577,0.019767442,0,0.012956419,-0.001176471,41257
17/12/2012,0.909,0.915,0.88,0.897,1178400,0.897,-0.003333333,0.02622577,0.019767442,0,0.012956419,41260
18/12/2012,0.9,0.916,0.896,0.916,1195100,0.916,0.021181717,-0.003333333,0.02622577,0.019767442,0,41261
19/12/2012,0.92,0.974,0.92,0.951,3785900,0.951,0.038209607,0.021181717,-0.003333333,0.02622577,0.019767442,41262
20/12/2012,0.959,0.99,0.954,0.989,2217600,0.989,0.039957939,0.038209607,0.021181717,-0.003333333,0.02622577,41263
21/12/2012,0.98,0.994,0.967,0.971,1875800,0.971,-0.018200202,0.039957939,0.038209607,0.021181717,-0.003333333,41264
24/12/2012,0.966,0.966,0.951,0.953,330900,0.953,-0.01853759,-0.018200202,0.039957939,0.038209607,0.021181717,41267
25/12/2012,0.953,0.953,0.953,0.953,0,0.953,0,-0.01853759,-0.018200202,0.039957939,0.038209607,41268
26/12/2012,0.953,0.953,0.953,0.953,0,0.953,0,0,-0.01853759,-0.018200202,0.039957939,41269
27/12/2012,0.963,0.979,0.96,0.975,622300,0.975,0.023084995,0,0,-0.01853759,-0.018200202,41270
28/12/2012,0.976,0.98,0.96,0.963,616400,0.963,-0.012307692,0.023084995,0,0,-0.01853759,41271
31/12/2012,0.95,0.954,0.936,0.943,643400,0.943,-0.020768432,-0.012307692,0.023084995,0,0,41274
01/01/2013,0.943,0.943,0.943,0.943,0,0.943,0,-0.020768432,-0.012307692,0.023084995,0,41275
02/01/2013,0.972,0.995,0.965,0.99,1704300,0.99,0.049840933,0,-0.020768432,-0.012307692,0.023084995,41276
03/01/2013,0.993,1.008,0.986,1.001,1911800,1.001,0.011111111,0.049840933,0,-0.020768432,-0.012307692,41277
04/01/2013,1,1.006,0.994,1,1231200,1,-0.000999001,0.011111111,0.049840933,0,-0.020768432,41278
07/01/2013,1.003,1.029,1,1.021,1380400,1.021,0.021,-0.000999001,0.011111111,0.049840933,0,41281
08/01/2013,1.03,1.097,1.011,1.07,2450600,1.07,0.047992165,0.021,-0.000999001,0.011111111,0.049840933,41282
09/01/2013,1.09,1.197,1.08,1.181,6518900,1.181,0.103738318,0.047992165,0.021,-0.000999001,0.011111111,41283
